Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Calderón de la Barca,, El escondido y la tapada,2002, Compañía de Manuel Canseco, Manuel Canseco, 6 de abril de 2002, XIX Jornadas de Teatro del Siglo de Oro, ,, Manuel Canseco, Lorenzo Collado," Gabriel Moreno, Orencio Ortega, Juanma Navas, Ángel Amorés, Pedro Forero, Sergio Gayol, Ramón Pons, Antonio Castro, Lola Muñoz, Cristina Juan, Aida Estrada, Maitre Jiménez", Jesús Antón, ,, Fernando Pérez Ruano, , Compañía de Manuel Canseco, Auditorio Maestro Pradilla,
Calderón de la Barca,,Casa con dos puertas mala es de guardar,2002, Rosas de Otoño, Adolfo Marsillach, 19 de octubre de 2002, , ,, Alfonso Zurro, Alfonso Barajas," Marisa Segovia, María Felices, Juan Carlos Naya, Manuel de Aguilar, Alfredo Alba, Isidro García, Yolanda Diego, Antonio Mayans, Mª José Goyanes, Jorge Seoane", Juan Gómez Cornejo, ,, León Revuelta, , Rosas de Otoño, Centro Cultural de la Villa de Madrid,
Calderón de la Barca,,La vida es sueño,2003," Asociación Cultural Conde de Aranda, Con Esa imaginación", Ángel García Suárez, 16 de septiembre de 2003, , ,, César Diéguez, ," Antonio Castro, Ernesto Arango, Rafael Ramos de Castro, Ángel García Suárez", , ,, , ," Asociación Cultural Conde de Aranda, Con Esa imaginación", Teatro Infanta Isabel de Madrid,
Calderón de la Barca,,La dama duende,2003, La Bicicleta," Eduardo Galán, Julio Fischtel", 7 de octubre de 2003, , ,, Ana María Boudeguer, Pablo Almeida," Julián Fuentes Reta, Gonzalo Buznego, Salvador Bueso, Eva Miguel, Iván Martínez, Sylvia Peleija, Natalia Jara", Nicolás Fischtel, ,, , , La Bicicleta, Teatro Sanpol de Madrid,
Calderón de la Barca,,El alcalde de Zalamea,2003, Teatro Español, Enrique Llovet, 30 de enero de 2003, , ,," Gustavo Pérez Puig, Mara Recatero", Gil Parrondo," Carlos Bofill, Ana María Vidal, Fito López, Alberto Magallares, Rafael Guerrero, Ramón Langa, Carlos Urrutia, Alberto Delgado, José Sancho, Abigail Tomey, África Pratt, Agustín González, José Manuel Pardo, Joaquín Molina, Hugo Echarri, Mino Viñas, Francisco Piquer, Francisco Galindo"," Rafael Tarín, Francisco R. Ariza", Volker Kirberg,, , Javier Artiñano, , Teatro Español, Teatro Español de Madrid
Calderón de la Barca,,"Cornudo, apaleado y satisfecho",2003," Enrique y Alain Cornejo, Teatro del Arte", Fernando Rojas, 15 de julio de 2003, Veranos de la Villa, ,, Fernando Rojas, Lorenzo Collado," Jacobo Dicenta, Mabel Escaño, Francisco González, Zulima Memba, Santiago Ruiz, Sonia Terol, María Sanz, José María Martín, Keni Roldán, José Ortega, Yolanda Cembrero", Carlos Moreno, ,, Eduardo Costa, ," Enrique y Alain Cornejo, Teatro del Arte"," Corral de Comedias del Rollo, Madrid",
Calderón de la Barca,,Los encantos de la culpa,2003, Garufa Teatro, José Antonio Hernández Sayagués, 28 de octubre de 2003, , ,, José Antonio Hernández Sayagués, , , , ,, , , Garufa Teatro, Teatro Caja Duero de Salamanca,
Calderón de la Barca,,Sueño del duque de Belaqua,2003, Anthares Teatro," Virginia Nölting, Javier Parra", 21 de octubre de 2003, , ,," Virginia Nölting, Javier Parra", Javier Parra, ," Patricia Franco, Virginia Nölting", Rafael Castillo Romero,, , , , Anthares Teatro, Teatro Cánovas de Málaga
Calderón de la Barca,,La vida es sueño,2004, Lenz Rifrazioni, Francesco Pititto, 13 de julio de 2004, Festival Internacional de Teatro Clásico de Almagro, ,," Francesco Pititto, María Federica Maestri", María Federica Maestri," Giuseppe Barigazzi, Giuseppe Imprezabili, Elisa Orlandini, Alessandro Sciarroni, Sandra Soncini, Bárbara Voghera", Rocco Giausante, ,," Adriano Egelbrecht, Andrea Azzali", , , Lenz Rifrazioni, Teatro Municipal de Almagro (Ciudad Real)
Calderón de la Barca,,La hija del aire,2004, Teatro San Martín, Jorge Lavelli, 21 de diciembre de 2004, , ,, Jorge Lavelli, Pace," Blanca Portillo, Joselo Bella, Marcelo Subiotto, Luis Herrera, Gustavo Böhm, Cutuli, Eleonora Wexler, Paula Requeijo, Pompeyo Audivert, Alejandro Zanga, Julieta Aure, Sergio Sioma, Daniel Esparza, Adrián Lamana, Francisco Napoli, Emilia Paino"," Roberto Traferri, Jorge Lavelli", Gerardo Gandini,, , Graciela Galán, , Teatro San Martín, Teatro Español de Madrid
Calderón de la Barca,,La edad de oro,2004, Compañía Eusebio Lázaro, José M. Caballero Bonald, 19 de junio de 2004, Festival Clásicos en Alcalá, ,, Eusebio Lázaro, José Luis Vicario, Eusebio Lázaro, Rafael Echeverz, ,, , Pepe Rubio, , Compañía Eusebio Lázaro, Corral de Zapateros de Alcalá de Henares (Madrid)
Calderón de la Barca,,La cena del rey Baltasar,2004, Teatro Par, Antonio Barrios, 15 de junio de 2004, , ,, Antonio Barrios, Estefanía B. Mejías," Carmen Rey, Esteban Jiménez, Álvaro Miguel Barrios, Belén Benítez, Carmen Morente, Belén Orihuela, Ángela Alcántara", , ,, , , Teatro Par, Patio de los Naranjos de la Mezquita de Córdoba,
Calderón de la Barca,,El astrólogo fingido,2004, Producciones Amara, Miguel del Arco, 18 de junio de 2004, Festival Clásicos en Alcalá, ,, Gabriel Garbisu, Carlos Verdasco," Miguel del Arco, Eduardo Navarro, Lino Ferreira, David Luque, Javier Román, Julio Cortázar, Elia Muñoz Ruiz, Miriam Montilla, Pilar San José, Patricia Luna, Sergio de Frutos", Juan Gómez Cornejo, ,, , Almudena Rodríguez Huertas, Producciones Amara, Teatro Universitario Lope de Vega de Alcalá de Henares (Madrid),
Calderón de la Barca,,"Con quien vengo, vengo",2004, Tetrápolis, José A. Raynaud, 18 de junio de 2004, Festival de Teatro Clásico de Cáceres, ,, José A. Raynaud, Dolores Fernández Cáceres," Miguel Ángel Latorre, Miguel Méndez, Pilar Montero, Susana Pedrazo, Susana Prieto, José Jesús Serrano, Javier Uriarte, Amparo Vázquez", , ,, , , Tetrápolis, Cáceres,
Calderón de la Barca,,La vida es sueño,2005, Guirigai Teatro, Agustín Iglesias, 26 de noviembre de 2005, ," En La Vida es Sueñi nos encontramos de los temas fascinantes y de tremenda actualidad en nuestra realidad: la manipulación de la memoria y la realidad virtual. Antes de que Philip K. Dick nos describiera los engranages de la paranoia, Calderón nos lo adelantaba, desvelando los mecanismos mentales de los sueños, la angustia por entender la indescifrable realidad, la manipulación de los recuerdos, la obsesiva búsqueda por encontrar al padre, y el miedo y la pasión de vivir.",, Agustín Iglesias, Jean Halbing," Magda García-Arenal, Juanjo Reiz, Rafael Ortiz, Cándido Gómez, Chema González, Oren Moreno, Pedro Vasallo, Agustín Iglesias",Monicreques de Kukas,,,"María Randos, Julia Ronquillo y Mª Carmen Romero",Chema González, Guirigai Teatro, Teatro Principal de Santos de Maimona (Badajoz),
Calderón de la Barca,,La vida es sueño,2006, Producciones Amara, Gabriel Garbisu, 17 de junio de 2005, Festival de Teatro Clásicode Cáceres," La compañía recoge uno de los grandes temas que consideramos que Calderón plantea en su obra La Vida es Sueño, como es el tema de la libertad. Se presenta un montaje que intenta hcer hincapié, tanto en la interpretación y la escenografía, como en la iluminación y el vestuario, en una seria de imágenes que conectan, a su modo de ver, con el sentido que tiene para el hombre de hoy en día la palabra libertad.",, Gabriel Garbisu, Miguel Cubero," Miriam Montilla, Carlos Ibarra, Lino Ferreira, Gabriel Moreno, Eduardo Navarro, Nicolás Vega, Patricia Luna, Javier Román", Pedro Yagüe,Ignacio García,,Miguel Cubero, , Producciones Amara, Plaza de las Veletas de Cáceres,
Calderón de la Barca,,La vida es sueño,2005, Centro Dramático de Aragón, Mariano Anós, 8 de julio de 2005, Festival Internacional de Teatro Clásico de Almagro, ,, , Mariano Anós,"Pedro Rebollo, Antonio Duque, Santiago Meléndez, Alfonso Pablo, Carlos Martín, Virginia Ardid, Nuria Herreros, Javier Aranda y Francisco Fraguas", Javier Anós, José Luis Romero.,,José Carlos Marín, ,Centro Dramático de Aragón,Teatro Municipal de Almagro,
Calderón de la Barca,,La dama duende,2005, A Priori Producciones, Marta Torres, 27 de agosto de 2005, Feria de Teatro de Castilla y León,"Recién llegado a Madrid Don Manuel con su criado Cosme, se encuentran una mujer con el rostro cubierto. Esta le suplica que detenga a un caballero que viene siguiéndola, y así, entran en pelea Don Manuel y Don Luis. EL cruce de aceros es sorprendido por Don Juan, hermano de Don Luis, el cual se precipita a intervenir, más reconoce en Don Manuel a su amigo e invitado.",, Marta Torres, Pepe Moreno," Pilar Gómez, Amanda Recacha, Raúl Sanz", Joseba García,Tuti Fernández,, Elena Revuelta,Xenia Sevillano,A priori Producciones,Teatro Nuevo de Ciudad Rodrigo, 
Calderón de la Barca,,El gran teatro del mundo,2005, Desguace Teatro,, , , ,, Kike Lera, ," Rafa López, Felisa Montejano, J. Carlos Giménez, Mariano Martínez, Ana Claver, Marisa García, Merche Lacambra, Nuria Ledesma", Agustín Pardo, ,, , , Desguace Teatro,, 
Calderón de la Barca,,El galán fantasma,2005, Teatre del Repartidor, Pepa Calvo Pizarro, 4 de febrero de 2005,," Astolfo, el protagonista, cae herido y en apariencia muerto en un lance de espadas con el Duque de Sajonia, por las pretensiones amorosas no correspondidas de este hacia Julia, enamorada del dicho Astolfo. A partir de aquó lal historia progresa de forma vertiginosa, transformándose en comedia una situación trágica.",, Pepa Calvo Pizarro, Agustín Fructuoso," Susana Egea, David Vert, Ivan Campillo, Antonio Alcalde, Berton Fernandez, Manel Solàs, Natalia Bernat, Tono Saló, Eva Poch, Rosa Polonio", Xavier Costas, Peter Delphinich,,Marian Dorronsoro,Tono Saló, Teatre del Repartidor/ Francisco J. Basilio, Teatre Tantarantana de Barcelona,
Calderón de la Barca,,Andrómeda y Perseo,2005, Trápala Teatro,, , , ,, Juan Carlos Villanueva, ," Manuel Pérez, Francisco Montero", , ,, , , Trápala Teatro, ,
Calderón de la Barca,,Amar después de la muerte,2005,Compañía Nacional de Teatro Clásico (CNTC), Yolanda Pallín, 21 de octubre de 2005, ," Amar después de la Muerte es una obra histórica en el mejor sentido. En ella Calderón aborda el levantamiento de lo smoriscos de la Alpujarra grandaina durante el reinado de Felipe II, peor lo hace situando en el centro de la acción una historia de amor romántico en la que el héroe es capaz de una más que imporbable hazaña: lograr vengar la muerte de su amada aún a pesar de desconocer la identidad de su asesino",, Eduardo Vasco, José Hernández,"Emilio Buale, Toni Misó, Jordi Dauder, Pepa Pedroche, Joaquín Notario, Ione Irazábal, Paco Paredes, César Sánchez, José Luis Santos, Miguel Cubero, Montse Díez, Juan Meseguer, Rodrigo Arribas, Jorge Gurpegui, Javier Mejía y Xavi Montesinos.", Miguel Ángel Camacho,Eduardo Vasco,,Rosa García Andújar,Mariano Zamorano,CNCT,Teatro Pavón de Madrid,
Calderón de la Barca,,"Acordei que sonhava, Desperté del sueño",2005, Núcleo Bartolomeu de Depoimentos, Claudia Schapira, 1 de marzo de 2005," Teatralia, Festival de Artes Escénicas para Niños y Jóvenes", ,, Claudia Schapira, Julio Dojcsar," Roberta Estrela D'Alva, Luaa Gabanini, Benito Carmona, Maysa Lepique, Tânia Pifer, Manuel Boucinhas, Eugênio Lima, Patrick Toosey, Claudia Schapira", Miló Martins, ,,,, Núcleo Bartolomeu de Depoimentos, Teatro Triángulo de Madrid,
Calderón de la Barca,,La rabia,2006, Perséfone, José Antonio Raynaud, 30 de junio de 2006, Festival de Teatro Clásico de Cáceres, ,, José Antonio Raynaud,,"Isabel Ollero, Rebeca Caballero, Mª Isabel Ollero, Eva Núñez, Virginia Ollero, Pablo Gómez, Miguel Amado, Miguel Ángel Méndez, Mª Carmen Ollero, Benigno Jesús Moreno",, ,, , ,Perséfone,Plaza de Santa María de Cáceres,
Calderón de la Barca,,La gran Cenobia,2006," José Estruch, RESAD",, , , ,, Carlos Alonso Callero,Samuel Moreno," Juanma Navas, María Benito, Natalia Braceli, Pedro Almagro, Ángel Gonzalo, David Boceta, Daniela Saludes, Eva Rufo, Lía Alvés, Joaquín Ortega, Álvaro Renedo Cabeza", Txabi Pastorius, Álvaro Renedo Cabeza,,Ana Montes,"Elvira Sanz, Lía Alvés"," José Estruch, RESAD, Javier Hernández Simón y Bengoa Vázquez", ,
Calderón de la Barca,,El mágico prodigioso / Il mágico Prodigioso,2006, Lenz Rifrazioni,Francesco Pititto, 13 de enero de 2006, Festival Escena Abierta de Burgos, ,," Francesco Pititto, María Federica Maestri"," María Federica Maestri, Francesco Pititto","Giuseppe Barigazzi, Ettore Lombarda, Elisa Orlandini, Alessandro Sciarroni, Sandra Soncini",, ,, , ,Lenz Rifrazioni,, 
Calderón de la Barca,,El mágico prodigioso,2006, El Mágico Prodigioso, Daniel Pérez Fernández, 9 de junio de 2006, ," El triángulo de nuestra tragedia calderoniana lo componen Cipriano encerrado en su torre de libros, que lleva involucrado el germen de la tragedia del conocimiento hasta que se enfrenta a un veneno más poderoso, el deseo erótico: camino de iniciación al amor, en esa búsqueda de la verdad y la belleza, que cree encontrar en Justina.",, Juan Carlos Pérez de la Fuente, Ana Garay," Jacobo Dicenta, Beatriz Argüello, Cristina Pons, Manuel Aguilar, Alejandra Caparrós, Sergio de Frutos, Luis Carlos de la Lombana, Rodrigo Poisón, Leandro Rivera, Israel Ruiz, Nicolás Vega, Xavier Elorriaga", Juan Gómez Cornejo, Ignacio García,, Javier Artiñano,José Antonio Arroyo,El Mágico Prodigioso,Teatro mPrincipal de Zamora,
Calderón de la Barca,,El gran teatro del mundo,2006, Biblioteca Valenciana, José Luis Alonso de Santos, 3 de julio de 2006, , ,, José Luis Alonso de Santos,,"Juan Mandli, José Luis Cano, Martín Cases, Salud Botella, María Maroto, Raquel Ortells, Alejandra Mandli, Julio Salvi, Manolo Melero, Roger Fresquet, Irene Chuliá, Lucrecia Cerveró, César Tormo, Nati Fajardo, Olira Fajardo. Orquesta y Coro del Conservatorio Profesional de Música de Valencia",pepe Acosta y Vicente Porfilio, ,,Cristina Perpiñá, ,Biblioteca Valenciana,Biblioteca Valenciana,
Calderón de la Barca,,El alcalde de Zalamea,2006, 2Rc, Nicolás Fernández, 6 de octubre de 2006, , ,, Rafael Rodríguez,José Luis Massó,"Pilar Bolaños, Beatriz Quintana, Jorge Reyes, Miguel Aristu, Miguel Ángel Granados, Maykol Hernández, David Pantaleón, Rosa Escrig, Javier Collado, Humberto García, María del Vigo, Cata Blánquez, Fermín Trabaledo, Ángel Cabrera y Cristo Quintana. Chelo: Pilar Bolaños. Violín: Beatriz Quintana.",Rafael Morán,,,Pilar Quiñones,,2Rc,Teatro Cuyás de Las Palmas de Gran Canaria,
Calderón de la Barca,,No hay burlas en el amor,2007, ESAD de Murcia, Francisco García Vicente, 25 de marzo de 2007, , ,, Francisco García Vicente, ," Antonio Blaya, Francisco Pardo, Jerusa Arias, Lucía Padilla, Miguel Cegarra, Neila Díaz, Ricardo Arqueros", Luisma Soriano,Rafael Párraga,,María Vicente,Antonio Gonzálvez,ESAD de Murcia,Teatro de la ESAD de Murcia,
Calderón de la Barca,,La dama duende,2007, Teatro Clásico de Sevilla, , 10 de julio de 2007, , ,, Juan Carlos Sánchez, ," Amparo Martín, Ana Ruiz, Gina Escáez, Néstor Barea", , ,, , , Teatro Clásico de Sevilla, Reales Atarazanas de Sevilla,
Calderón de la Barca,,El médico de su honra,2007, Algarabía Teatro, Mauro Armiño, 24 de noviembre de 2007, Festival Internacional de Teatro de Cazorla, ,,Isidro Rodríguez Gallardo,David Prieto,"Amalia Hornero, Borja Rodríguez, David Bueno, Diana Gálvez, Moncho Sánchez-Diezma, Segundo Belmonte, Susana Sucena, Víctor Criado", , Carlos González,, Macarena Rodríguez,,Algarabía Teatro,Cazorla (Jaén),
Calderón de la Barca,,No hay burlas con el amor,2008,Compañía de Manuel Canseco,Domingo Miras y Manuel Canseco,10 de julio de 2008,,,,Manuel Canseco,,"Alberto Closas, jr., Alejandra Torray, Cristina Palomo, Gabriel Moreno, Joan Llaneras, Natalia Jara, Pablo Alonso, Pedro Forero, Victor Benedé",,,,,,Compañía de Manuel Canseco,"Jardines del Galiileo, Madrid",
Calderón de la Barca,,Life is a dream; La Vida es Sueño,2008,Amnistía Internacional; Puy Navarro,Jerry Bamman,19 de julio de 2008,Festival Internacional de Teatro Clásico de Almagro,"Life is a dream debates social justice, democracy, the cross of frontiers, and it is a vehicle for knowledge and education. These are the subjects Calderón reflects in his play, and that were also debated at the following Transatlantic Dialogues and Human Rights Series: SOCIAL JUSTICE: Conversation with Rigoberta Menchú, recipient of the Nobel Peace Prize in 1992. Wednesday May 17th 2006 at 7pm BREAKING LIMITS AND FRONTIERS: Tijuana, The Third Nation. Multicultural event that aims at showing the vitality and creative persistency developed in the US-Mexico frontier through Fine Arts, Film, Literature and Music. April 2006. DEMOCRACY: “Democratic Transitions”. Spain and some other Latin American countries have experienced transitions from dictatorial to democratic regimes. In every one of these cases, the recently created democracies have had to face the very close memory of the government’s violent acts and autocracy. Monday, December 5th 2005 at 6pm. EDUCATION: “The Opportunities and Challenges of Education in Globalized Society.” Monday, November 28th 2005 at 8pm. The values we find in Calderón’s theater, such as the sense of freedom and democracy, or human dignity, can also be found in the roots of European Humanism. We want to set ourselves above any geographical or political frontier that Life is a dream‘s script might set, and focus on the imperative need for mutual knowledge and interaction among different cultures.",,Cecil Mackinnon,," Allyn Burrows, James Gale, Hall Hunsinger, Ephraim López, Puy Navarro y Francisco Reyes",Justin Twonsent,Aural Fixation,,Moza Sarancho y Curtney McClain,Barbara Allen,Pui Navarro y Amnesty International,Iglesia de las bernardas,
